Name,Contact,Specialization
"Dogma Soft Public Limited, jaipur",Website: www. dogmaindia.com Email:  info@dogmaindia.com,"Official Website, Software Development, Website Design and Development, Toll Free Number, PC SPYSoftware, Bulk SMS, ISO Certification, Trade Mark"
"Accenture Services Pvt. Ltd., Mumbai",Website: www.accenture.com Email: chet.kamat@accenture.com,"Project deliver, Custom application development, Application management & conversion, Creation ofclient-specific facilities"
"Ace Software Exports Ltd,Rajkot",Website: www.acesoftex.com Email:vikram@acesoftex.com,"Database Creation, Software Development, CAD -AM/FM Services, E-Commerce Solutions"
"Acsys Software (India) Pvt Ltd,Chennai",Website: www.acsysindia.com Email:rvetrivel@acsysindia.com,"Mutual funds, pension funds, insurance, portfoliomanagement"
"Aditi Technologies Pvt Ltd, Bangalore",Website: www.aditi.com Email: webmaster@aditi.com,"E-service product- Talisma for handling customer e-mail in a team environment, E-commerce consultancy and development, Outsourced support services"
"Adobe Systems India PvtLtd, Noida",Website: www.adobeindia.com Email:ngupta@adobe.com,Specialisation: Web and Desktop Publishing Software
"Advanced Micronic Devices Ltd, Bangalore",Website: www.amdlcorp.com Email: vijayar@amdlcorp.com,"Building Automation, Control systems, Embedded Software, E-commerce"
"Centre (India ) Pvt Ltd,Chennai",kumar@adventnet.com,Infrastructure
"Aftek Infosys Ltd, Mumbai",Website: www.aftek.com Email: ranjitd@aftek.com,"Embedded systems (internal and applications), System Software (internal and applications) , Webprogramming, Software product and packages"
"Aithent Technologies Pvt Ltd., Gurgaon",Website: www.aithent.com Email: svadhera@ggn.aithent.com,"Packaged Software, Turnkey Projects, Healthcare Industry, Finance sector"
"Ajuba Solutions (India) Pvt.Ltd., Chennai",Website: www.ajubanet.net Email:devendra.saharia@ajubanet.net,"Customer Interaction, Transaction Processing, DataAnalysis"
"Akshay Software Technologies Ltd., Mumbai",Website: www.akshay.com Email: kpr@akshay.co.in,"Internet / Intranet / E-commerce, Client / Server Technology, ERP Practices, Legacy Systems Maintenance, Euro Currency Conversions"
"Algorithms Software Pvt.Ltd., Mumbai",Website: www.algosoftware.com,Software Development & Consultancy
"All e Technologies, Noida",Website: www.alletec.com Email:amian@alletec.com,"CRM, Entreprise Information systems, InternetBusiness Solutions"
"ALSTOM Systems Limited, Noida",Website: www.alstom.com Email: rathin.basu@vsnl.com,"Supervisory Control and Data Acquisition System (SCADA) for Power and Industrial Processes, Terminal Automation System for Oil / Gas sector,Product development for Real Time application"
"American Express (India) Pvt. Ltd., New Delhi",Website: www.americanexpress.com Email: Sanjay.2.Gupta@aexp.com,Data Management and Information Analysis & Control
"American Megatrends (India) Pvt. Ltd, Chennai",Email: sundaramn@amiindia.co.in,"Desktop and Portable Bios, PCMCIA Solutions and Systems Management Software, Device Drivers forvarious Operating Systems, GUI, Internet/Intranet, Java, JDBC"
"AmitySoft Technologies Pvt Ltd, Chennai",Website: www.amitysoft.com Email: jayakumar@amitysoft.com,"Java based software development, software testing,software quality consulting, training on software quality"
"Ampersand SoftwareApplications Ltd., Bangalore",Website: www.ampercorp.com Email:ravindrak@ampercorp.com,"Strategic Technologies, Offsite development, Onsiteprogramming, E-Commerce Solutions"
Anjaleem Enterprises Pvt.,Email: mehta_madhu@hotmail.com,"Telephone Call Metering Systems, Real Time"
"Annet Communications Pvt Ltd, Mumbai",Website: www.annetsite.com Email: rohan@annetsite.com,"eBusiness solutions, multimedia applicatiions, client- server application development, webenablingsolutions"
