Company Name,Place,Website,Email,Specialization
Dogma Soft Public Limited, jaipur,www. dogmaindia.com,info@dogmaindia.com,"Official Website, Software Development, Website Design and Development, Toll Free Number, PC SPYSoftware, Bulk SMS, ISO Certification, Trade Mark"
Accenture Services Pvt. Ltd., Mumbai,www.accenture.com,chet.kamat@accenture.com,"Project deliver, Custom application development, Application management & conversion, Creation ofclient-specific facilities"
Ace Software Exports Ltd,Rajkot,www.acesoftex.com,vikram@acesoftex.com,"Database Creation, Software Development, CAD -AM/FM Services, E-Commerce Solutions"
Acsys Software (India) Pvt Ltd,Chennai,www.acsysindia.com,rvetrivel@acsysindia.com,"Mutual funds, pension funds, insurance, portfoliomanagement"
Aditi Technologies Pvt Ltd, Bangalore,www.aditi.com,webmaster@aditi.com,"E-service product- Talisma for handling customer e-mail in a team environment, E-commerce consultancy and development, Outsourced support services"
Adobe Systems India PvtLtd, Noida,www.adobeindia.com,ngupta@adobe.com,Specialisation: Web and Desktop Publishing Software
Advanced Micronic Devices Ltd, Bangalore,www.amdlcorp.com,vijayar@amdlcorp.com,"Building Automation, Control systems, Embedded Software, E-commerce"
Centre (India ) Pvt Ltd,Chennai,,,Infrastructure
Aftek Infosys Ltd, Mumbai,www.aftek.com,ranjitd@aftek.com,"Embedded systems (internal and applications), System Software (internal and applications) , Webprogramming, Software product and packages"
Aithent Technologies Pvt Ltd., Gurgaon,www.aithent.com,svadhera@ggn.aithent.com,"Packaged Software, Turnkey Projects, Healthcare Industry, Finance sector"
Ajuba Solutions (India) Pvt.Ltd., Chennai,www.ajubanet.net,devendra.saharia@ajubanet.net,"Customer Interaction, Transaction Processing, DataAnalysis"
Akshay Software Technologies Ltd., Mumbai,www.akshay.com,kpr@akshay.co.in,"Internet / Intranet / E-commerce, Client / Server Technology, ERP Practices, Legacy Systems Maintenance, Euro Currency Conversions"
Algorithms Software Pvt.Ltd., Mumbai,www.algosoftware.com,,Software Development & Consultancy
All e Technologies, Noida,www.alletec.com,amian@alletec.com,"CRM, Entreprise Information systems, InternetBusiness Solutions"
